id_observation,id_individu,nom_individu,date,coordonnees_wgs84_n,coordonnees_wgs84_e,azimut,niveau_filtre,puissance_signal,commentaire
Obs1,1,Bianca,23/01/2018 03:48:00,46.59103,005.46573,81,0,0,
Obs2,1,Bianca,23/01/2018 03:52:00,46.59103,005.46573,~35,0,0,
Obs3,1,Bianca,23/01/2018 00:26:00,46.59153,005.49373,300,5,2,
Obs4,1,Bianca,23/01/2018 02:44:00,46.59153,005.49373,-,-,-,
Obs5,1,Bianca,23/01/2018 02:46:00,46.59153,005.49373,305,0,3,
Obs6,1,Bianca,23/01/2018 02:09:00,46.5976,005.4457,72,0,5,
Obs7,1,Bianca,23/01/2018 02:00:00,46.59767,005.45867,290,0,1,
Obs8,1,Bianca,23/01/2018 03:28:00,46.59821,005.45199,290,0,3,
Obs9,1,Bianca,23/01/2018 03:35:00,46.59821,005.45199,HI,10,10,
Obs10,1,Bianca,23/01/2018 03:42:00,46.59821,005.45199,45,0,0,
Obs11,1,Bianca,23/01/2018 03:29:00,46.5987,005.4491,95,0,Max,
Obs12,1,Bianca,23/01/2018 03:33:00,46.5987,005.4491,HI,0,Max,
Obs13,1,Bianca,23/01/2018 03:35:00,46.5987,005.4491,HI,0,Max,
Obs14,1,Bianca,23/01/2018 01:09:00,46.599526,5.505440,245,0,1,
Obs15,1,Bianca,23/01/2018 01:12:00,46.599526,5.505440,263,0,3,
Obs16,1,Bianca,23/01/2018 04:00:00,46.60018,005.48262,HI,10,5,
Obs17,1,Bianca,23/01/2018 23:56:00,46.6003,005.5062,270,3,3,
Obs18,1,Bianca,24/01/2018 00:00:00,46.6003,005.5062,280,0,5,
Obs19,1,Bianca,23/01/2018 02:42:00,46.60040,005.44606,334,0,0,
Obs20,1,Bianca,23/01/2018 03:23:00,46.60040,005.44606,355,4,5,
Obs21,1,Bianca,23/01/2018 00:51:00,46.601482,005.505846,263,0,3,
Obs22,1,Bianca,23/01/2018 00:55:00,46.601482,005.505846,270,0,5,
Obs23,1,Bianca,23/01/2018 01:00:00,46.601482,005.505846,260,0,1,
Obs24,1,Bianca,23/01/2018 01:21:00,46.603378,005.504203,295,0,5,
Obs25,1,Bianca,23/01/2018 02:10:00,46.60347,005.44337,158,0,5,
Obs26,1,Bianca,23/01/2018 02:12:00,46.60347,005.44337,145,0,3,
Obs27,1,Bianca,23/01/2018 02:17:00,46.60347,005.44337,146,0,1,
Obs28,1,Bianca,23/01/2018 02:32:00,46.60347,005.44337,338,0,0,
Obs29,1,Bianca,23/01/2018 04:24:00,46.60385,005.50769,330,2,5,
Obs30,1,Bianca,23/01/2018 04:26:00,46.60385,005.50769,0,0,1,
Obs31,1,Bianca,23/01/2018 04:18:00,46.60601,005.48632,175,3,faible,
Obs32,1,Bianca,23/01/2018 04:19:00,46.60601,005.48632,150,4,faible,
Obs33,1,Bianca,23/01/2018 04:21:00,46.60601,005.48632,80,0,très faible,
Obs34,1,Bianca,23/01/2018 04:23:00,46.60601,005.48632,90,0,très faible,
Obs35,1,Bianca,23/01/2018 04:27:00,46.60601,005.48632,80,0,très faible,
Obs36,1,Bianca,23/01/2018 00:28:00,46.606981,005.517723,250,3,-,
Obs37,1,Bianca,23/01/2018 00:33:00,46.606981,005.517723,270,0,-,
Obs38,1,Bianca,23/01/2018 00:36:00,46.606981,005.517723,210,4,-,
Obs39,1,Bianca,23/01/2018 00:38:00,46.606981,005.517723,240,0,-,
